N_NAME,O_ORDERSTATUS,TOTAL_PRICE
ALGERIA,P,283754692058.61
ALGERIA,O,4386593242616.03
ALGERIA,F,4386819761270.37
ARGENTINA,O,4391977202960.21
ARGENTINA,F,4393954731140.66
ARGENTINA,P,283928706376.18
BRAZIL,P,283860901334.78
BRAZIL,O,4388397057994.91
BRAZIL,F,4387267079251.84
CANADA,O,4388560085015.26
CANADA,P,284168954675.56
CANADA,F,4388691986351.53
CHINA,F,4393286715997.82
CHINA,P,283835205185.82
CHINA,O,4392620688899.59
EGYPT,O,4390958467619.44
EGYPT,P,283603664730.39
EGYPT,F,4391093780437.79
ETHIOPIA,O,4395070042283.71
ETHIOPIA,F,4394546782185.56
ETHIOPIA,P,283783423356.38
FRANCE,O,4390722416353.49
FRANCE,F,4390950258961.91
FRANCE,P,284091346516.62
GERMANY,O,4387066138413.35
GERMANY,F,4387280040662.59
GERMANY,P,283571217241.50
INDIA,F,4390931192545.62
INDIA,P,284018591247.07
INDIA,O,4392077961169.02
INDONESIA,O,4395933485233.36
INDONESIA,F,4396043977978.75
INDONESIA,P,283953112749.03
IRAN,O,4391130510480.08
IRAN,F,4390181075556.66
IRAN,P,283883274448.30
IRAQ,P,283755525806.24
IRAQ,F,4390997473206.17
IRAQ,O,4393361311026.43
JAPAN,F,4388997812326.90
JAPAN,O,4389257984923.04
JAPAN,P,283853891153.61
JORDAN,O,4391443368431.86
JORDAN,F,4392922410291.23
JORDAN,P,283801805195.36
KENYA,F,4388344148567.52
KENYA,O,4388133826983.64
KENYA,P,283757475447.92
MOROCCO,P,284205764563.49
MOROCCO,O,4393772411279.77
MOROCCO,F,4393605156353.04
MOZAMBIQUE,F,4393286900490.84
MOZAMBIQUE,P,283686944477.52
MOZAMBIQUE,O,4392787578247.55
PERU,F,4391993558842.14
PERU,P,284143279545.17
PERU,O,4390705969595.89
ROMANIA,O,4393248889386.80
ROMANIA,P,283849578585.12
ROMANIA,F,4392760602738.56
RUSSIA,P,284118955813.11
RUSSIA,O,4392576961728.22
RUSSIA,F,4391868331582.14
SAUDI ARABIA,O,4391380787530.90
SAUDI ARABIA,P,283809949051.58
SAUDI ARABIA,F,4391694635711.28
UNITED KINGDOM,O,4390678008740.43
UNITED KINGDOM,F,4391757223917.64
UNITED KINGDOM,P,284095009348.01
UNITED STATES,O,4392736885883.15
UNITED STATES,F,4391775555037.29
UNITED STATES,P,284445681618.23
VIETNAM,O,4393854174116.98
VIETNAM,P,284644120521.12
VIETNAM,F,4394657287604.95
